# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1553
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1553
DATA ascii
-0.006038095 0.1316305 1.268
-0.003622857 0.1316305 1.268
-0.1141743 0.1423972 1.347
-0.1106972 0.1412343 1.336
-0.1081524 0.1412343 1.336
-0.1052124 0.1407057 1.331
-0.1022914 0.1401771 1.326
-0.09938953 0.1396486 1.321
-0.09614 0.1385914 1.311
-0.09328572 0.1380629 1.306
-0.0907981 0.1380629 1.306
-0.08831048 0.1380629 1.306
-0.08549429 0.1375343 1.301
-0.08301619 0.1375343 1.301
-0.08022857 0.1370057 1.296
-0.07776 0.1370057 1.296
-0.07500095 0.1364771 1.291
-0.0725419 0.1364771 1.291
-0.07008285 0.1364771 1.291
-0.06741429 0.1360543 1.287
-0.06496286 0.1360543 1.287
-0.06251143 0.1360543 1.287
-0.06006 0.1360543 1.287
-0.05760857 0.1360543 1.287
-0.05494286 0.1355257 1.282
-0.05229619 0.1349971 1.277
-0.04986381 0.1349971 1.277
-0.04724571 0.1344686 1.272
-0.04482286 0.1344686 1.272
-0.04226667 0.1340457 1.268
-0.03969429 0.1335171 1.263
-0.03728857 0.1335171 1.263
-0.03488285 0.1335171 1.263
-0.03247714 0.1335171 1.263
-0.03007143 0.1335171 1.263
-0.02766571 0.1335171 1.263
-0.02526 0.1335171 1.263
-0.02285429 0.1335171 1.263
-0.02044857 0.1335171 1.263
-0.01804286 0.1335171 1.263
-0.01563714 0.1335171 1.263
-0.01323143 0.1335171 1.263
-0.01086857 0.1340457 1.268
-0.008453334 0.1340457 1.268
-0.006038095 0.1340457 1.268
-0.11674 0.1449629 1.347
-0.1137505 0.1444248 1.342
-0.1106972 0.1437791 1.336
-0.1077476 0.143241 1.331
-0.1052124 0.143241 1.331
-0.1022914 0.1427029 1.326
-0.09938953 0.1421648 1.321
-0.09614 0.1410886 1.311
-0.09364286 0.1410886 1.311
-0.0907981 0.1405505 1.306
-0.08831048 0.1405505 1.306
-0.08549429 0.1400124 1.301
-0.08301619 0.1400124 1.301
-0.08022857 0.1394743 1.296
-0.07776 0.1394743 1.296
-0.07500095 0.1389362 1.291
-0.0725419 0.1389362 1.291
-0.07008285 0.1389362 1.291
-0.06741429 0.1385057 1.287
-0.06496286 0.1385057 1.287
-0.06251143 0.1385057 1.287
-0.05982667 0.1379676 1.282
-0.05738476 0.1379676 1.282
-0.05472858 0.1374295 1.277
-0.05229619 0.1374295 1.277
-0.04966858 0.1368914 1.272
-0.04724571 0.1368914 1.272
-0.0446819 0.1364609 1.268
-0.04226667 0.1364609 1.268
-0.03969429 0.1359228 1.263
-0.03728857 0.1359228 1.263
-0.03488285 0.1359228 1.263
-0.03247714 0.1359228 1.263
-0.03007143 0.1359228 1.263
-0.02766571 0.1359228 1.263
-0.02526 0.1359228 1.263
-0.02285429 0.1359228 1.263
-0.02052952 0.1364609 1.268
-0.01811429 0.1364609 1.268
-0.01569905 0.1364609 1.268
-0.01328381 0.1364609 1.268
-0.01086857 0.1364609 1.268
-0.008453334 0.1364609 1.268
-0.11674 0.1475286 1.347
-0.1137505 0.146981 1.342
-0.1106972 0.1463238 1.336
-0.1077476 0.1457762 1.331
-0.1052124 0.1457762 1.331
-0.1022914 0.1452286 1.326
-0.09901334 0.1441333 1.316
-0.09614 0.1435857 1.311
-0.09364286 0.1435857 1.311
-0.0907981 0.1430381 1.306
-0.08831048 0.1430381 1.306
-0.08549429 0.1424905 1.301
-0.08301619 0.1424905 1.301
-0.0805381 0.1424905 1.301
-0.07776 0.1419428 1.296
-0.07529142 0.1419428 1.296
-0.0725419 0.1413952 1.291
-0.07008285 0.1413952 1.291
-0.06762381 0.1413952 1.291
-0.06496286 0.1409571 1.287
-0.06251143 0.1409571 1.287
-0.05982667 0.1404095 1.282
-0.05738476 0.1404095 1.282
-0.05472858 0.1398619 1.277
-0.05209143 0.1393143 1.272
-0.04966858 0.1393143 1.272
-0.04709714 0.1388762 1.268
-0.0446819 0.1388762 1.268
-0.04226667 0.1388762 1.268
-0.03969429 0.1383286 1.263
-0.03728857 0.1383286 1.263
-0.03488285 0.1383286 1.263
-0.03247714 0.1383286 1.263
-0.03007143 0.1383286 1.263
-0.02766571 0.1383286 1.263
-0.02526 0.1383286 1.263
-0.02285429 0.1383286 1.263
-0.02052952 0.1388762 1.268
-0.01811429 0.1388762 1.268
-0.01569905 0.1388762 1.268
-0.01328381 0.1388762 1.268
-0.01086857 0.1388762 1.268
