# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1723
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1723
DATA ascii
0.009013334 -0.1686781 1.352
0.01158857 -0.1686781 1.352
0.01416381 -0.1686781 1.352
0.01673905 -0.1686781 1.352
0.01931429 -0.1686781 1.352
0.02188952 -0.1686781 1.352
0.03764476 -0.1700505 1.363
0.04024095 -0.1700505 1.363
0.04283714 -0.1700505 1.363
0.0456 -0.1706743 1.368
0.04820571 -0.1706743 1.368
0.05103429 -0.1714229 1.374
0.05365143 -0.1714229 1.374
0.05626858 -0.1714229 1.374
-0.01667714 -0.1654886 1.347
-0.01416381 -0.1661029 1.352
-0.01158857 -0.1661029 1.352
-0.00898 -0.1654886 1.347
-0.006414286 -0.1654886 1.347
-0.003848572 -0.1654886 1.347
-0.001282857 -0.1654886 1.347
0.001282857 -0.1654886 1.347
0.003848572 -0.1654886 1.347
0.006414286 -0.1654886 1.347
0.009013334 -0.1661029 1.352
0.01158857 -0.1661029 1.352
0.01416381 -0.1661029 1.352
0.01673905 -0.1661029 1.352
0.01931429 -0.1661029 1.352
0.02188952 -0.1661029 1.352
0.02446476 -0.1661029 1.352
0.03764476 -0.1674543 1.363
0.04024095 -0.1674543 1.363
0.04283714 -0.1674543 1.363
0.0456 -0.1680686 1.368
0.04820571 -0.1680686 1.368
0.05103429 -0.1688057 1.374
0.05365143 -0.1688057 1.374
0.05626858 -0.1688057 1.374
-0.01416381 -0.1635276 1.352
-0.01158857 -0.1635276 1.352
-0.00898 -0.1629229 1.347
-0.006414286 -0.1629229 1.347
-0.003848572 -0.1629229 1.347
-0.001282857 -0.1629229 1.347
0.001282857 -0.1629229 1.347
0.003848572 -0.1629229 1.347
0.006414286 -0.1629229 1.347
0.009013334 -0.1635276 1.352
0.01158857 -0.1635276 1.352
0.01416381 -0.1635276 1.352
0.01673905 -0.1635276 1.352
0.01931429 -0.1635276 1.352
0.02188952 -0.1635276 1.352
0.02446476 -0.1635276 1.352
0.02985619 -0.1648581 1.363
0.03245238 -0.1648581 1.363
0.03517714 -0.1654629 1.368
0.03778286 -0.1654629 1.368
0.04024095 -0.1648581 1.363
0.04283714 -0.1648581 1.363
0.0456 -0.1654629 1.368
0.04820571 -0.1654629 1.368
0.05103429 -0.1661886 1.374
0.05365143 -0.1661886 1.374
0.05647334 -0.1667933 1.379
0.0591 -0.1667933 1.379
-0.01416381 -0.1609524 1.352
-0.01158857 -0.1609524 1.352
